web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,image
"1781563516-1","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","","","Categoria","","",""
"1781563516-2","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","","","Subcategoria","","",""
"1781563516-3","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","Condição","Mostrar tudo","","","",""
"1781563516-4","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","","","","","",""
"1781563516-5","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","","","","","",""
"1781563516-6","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","Casas de Banho","Mostrar tudo","","","",""
"1781563516-7","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","Tipologia","Mostrar tudo","","","",""
"1781563516-8","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","Certificado Energético","Mostrar tudo","","","",""
"1781563516-9","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","Mobilado","Mostrar tudo","","","",""
"1781563516-10","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","","","","","",""
"1781563516-11","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T3 no Bairro Social na Torre em Cascais","242.500 €","Cascais E Estoril - 27 de maio de 2026","","","","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/ng98j2k78go31-PT/image;s=510x383;q=50"
"1781563516-12","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2 com 3 Frentes e Garagem Fechada |Arvore -Vila do Conde","325.000 €","Árvore - Para o topo hoje às 12:51","","","","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/ee96zmqh6kha-PT/image;s=510x383;q=50"
"1781563516-13","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2 Totalmente Remodelado na Damaia | Junto às Portas de Benfica","289.000 €","Águas Livres - Para o topo a 14 de junho de 2026","","","","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/zpqi2qq45c76-PT/image;s=510x383;q=50"
"1781563516-14","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","","","","","",""
"1781563516-15","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Venda Imóvel centro Odivelas","395.000 €","Odivelas - Para o topo hoje às 16:37","","","","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/r6c0vyf3w74t-PT/image;s=510x680;q=50"
"1781563516-16","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 Francos","395.000 €Negociável","Ramalde - Para o topo hoje às 23:04","","","","Negociável","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/kskntwj08por2-PT/image;s=510x906;q=50"
"1781563516-17","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2 - R/C alto, 15 minutos a pé da Estação Fluvial, absolutamente central junto ao Lidl","240.000 €","Barreiro E Lavradio - Para o topo hoje às 23:10","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-18","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","","","","","",""
"1781563516-19","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento t2+1 à venda em Devesas Gaia","350.000 €","Santa Marinha E São Pedro Da Afurada - Para o topo hoje às 09:27","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-20","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","","","","","",""
"1781563516-21","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","","","","","",""
"1781563516-22","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T0's , T'1s e T2's - EXCELENTE OPORTUNIDADE","131.150 €","Canidelo - Para o topo hoje às 18:35","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-23","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 em Moreira da Maia","320.000 €","Moreira - Hoje às 18:36","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-24","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 com aproveitamento de sótão, Quinta do Sol, Sarge, Torr","249.500 €","Torres Vedras (São Pedro, Santiago, Santa Maria Do Castelo E São Miguel) E Matacães - Hoje às 23:02","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-25","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2  Remodelado Zona premium Paco de Arcos","509.900 €","Oeiras E São Julião Da Barra, Paço De Arcos E Caxias - Hoje às 08:39","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-26","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T3 em Alhandra, São João dos Montes e Calhandriz de 75,2 m","225.000 €","Alhandra, São João Dos Montes E Calhandriz - Hoje às 19:43","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-27","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","","","A navegar por uma compra ou venda? Saiba tudo o que precisa sobre o Contrato de Promessa de Compra e Venda.","","",""
"1781563516-28","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T3 totalmente remodelado em Agualva-Cacem","279.700 €","Cacém E São Marcos - Hoje às 18:07","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-29","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2 - 1° Andar Av. Bocage Totalmente Remodelado","272.000 €","Alto Do Seixalinho, Santo André E Verderena - 07 de junho de 2026","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-30","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento Viso T3 com Suite 137 m2 com elevador","362.000 €","Setúbal (São Julião, Nossa Senhora Da Anunciada E Santa Maria Da Graça) - 03 de junho de 2026","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
