web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,image
"1781563350-1","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrenda-se T1 Novo em V.N.Gaia","1.300 €","Mafamude E Vilar Do Paraíso - Para o topo hoje às 07:08","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/lq4icl06aqfv3-PT/image;s=510x680;q=50"
"1781563350-2","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrenda-se T1 na Ajuda","800 €","Ajuda - Para o topo hoje às 10:31","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/wt6frfgjc2f02-PT/image;s=510x907;q=50"
"1781563350-3","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arenda-se apartamento t2 no Pinhal Novo","1.300 €","Pinhal Novo - 14 de junho de 2026","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/9won0r5ecxul2-PT/image;s=510x396;q=50"
"1781563350-4","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Aluguer de Apartamento T1 – Totalmente Renovado e Mobilado!","700 €","Viseu - Hoje às 12:10","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/wlyw62l2txsz1-PT/image;s=510x680;q=50"
"1781563350-5","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento para arrendar na zona histórica de Coimbra a 300m da universidade de Coimbra","450 €","Coimbra (Sé Nova, Santa Cruz, Almedina E São Bartolomeu) - Para o topo hoje às 21:20","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/d1aqquic0vtd1-PT/image;s=510x908;q=50"
"1781563350-6","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Cascais,  Parede apartamento T3, mobilado,  aluguer seis messes","1.300 €","Carcavelos E Parede - Para o topo hoje às 17:06","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-7","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrenda seT1 centro Almada.","700 €","Almada, Cova Da Piedade, Pragal E Cacilhas - Hoje às 13:42","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-8","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T1 Canidelo","950 €","Canidelo - Para o topo hoje às 15:24","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-9","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento, para arrendamento, Vila Nova de Gaia - Mafamude","800 €","Mafamude E Vilar Do Paraíso - Hoje às 19:35","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563350-10","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrendamento T2 em Pinhal Novo","1.000 €","Pinhal Novo - Hoje às 19:34","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
