web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,image
"1780934849-1","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 - Quinta do Conde, Sesimbra - 275.000€","275.000 €","Quinta do Conde - 03 de junho de 2026","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/xoj71kg9cth8-PT/image;s=510x383;q=50"
"1780934849-2","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2 Gaia com garagem, calma rara em pleno centro de Gaia, jardim Maravedi","275.000 €","Santa Marinha E São Pedro Da Afurada - Para o topo hoje às 16:43","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/ye3yg4md5uvx2-PT/image;s=510x680;q=50"
"1780934849-3","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T3 em Zona Nobre de Requesende em Ramalde","475.000 €","Ramalde - 14 de maio de 2026","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/ogni52gemff3-PT/image;s=538x359;q=50"
"1780934849-4","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 em Odivelas","525.000 €Negociável","Odivelas - Para o topo hoje às 10:55","Negociável","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/wbvrh6z5lh962-PT/image;s=538x359;q=50"
"1780934849-5","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","apartamento t3  R. de Mouzinho da Silveira 180","670.000 €","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau E Vitória - Hoje às 16:35","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/31jfby4a1jqx-PT/image;s=538x359;q=50"
"1780934849-6","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2 em bom estado Agualva","289.000 €","Agualva E Mira-Sintra - Para o topo a 07 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-7","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 Campo 24 de Agosto","270.000 €","Bonfim - Hoje às 12:02","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-8","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 para venda","190.000 €","Luso - Para o topo a 07 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-9","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T3 c/ garagem Ermesinde","162.337 €","Ermesinde - Hoje às 11:55","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-10","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T3 Av. Republica junto El Court Inglês","290.000 €Negociável","Mafamude E Vilar Do Paraíso - Hoje às 12:29","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-11","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2, 1º Andar, com Varanda e Exposição Nascente-Poente","275.000 €","Seixal, Arrentela E Aldeia De Paio Pires - Para o topo hoje às 11:48","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-12","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Investimento - Venda conjunta de 2 Prédios na Estrela, Lisboa","1.100.000 €","Campo De Ourique - Hoje às 13:13","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-13","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2+1 Moderno em Gaia","382.000 €","Mafamude E Vilar Do Paraíso - 06 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-14","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T1 Matriz - Póvoa de Varzim","209.000 €Negociável","Póvoa De Varzim, Beiriz E Argivai - 28 de maio de 2026","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-15","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2 Novo a Estrear com Amplas Varandas | Santa Clara | Coimbra","395.000 €","Coimbra (Sé Nova, Santa Cruz, Almedina E São Bartolomeu) - Para o topo a 07 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-16","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T1 + 1 BAIXA DA BANHEIRA","199.000 €","Baixa Da Banheira E Vale Da Amoreira - Hoje às 15:20","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-17","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2 - 1° Andar Av. Bocage Totalmente Remodelado","272.000 €","Alto Do Seixalinho, Santo André E Verderena - 07 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-18","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T3 Novo com 2 Suítes em Ribeirão","240.000 €","Ribeirão - Hoje às 10:41","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-19","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T3 centro da Moita","259.000 €","Moita - Para o topo hoje às 02:27","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-20","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2 Metro + Garagem + Vista Mar","299.900 €Negociável","Vilar de Andorinho - Hoje às 02:00","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-21","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Vendo t2 com suite em Serzedo, VNG","245.000 €","Serzedo E Perosinho - Para o topo hoje às 12:46","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-22","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T3 para venda","199.000 €","Montijo E Afonsoeiro - Hoje às 10:30","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934849-23","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 No Centro De Almeirim","165.000 €","Almeirim - Hoje às 16:09","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
