web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,image
"1780934450-1","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T2 em Algés remodelado com vidros duplos e duas varandas","1.200 €","Algés, Linda-A-Velha E Cruz Quebrada-Dafundo - 10 de maio de 2026","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/o3e8p7w3prpu2-PT/image;s=510x384;q=50"
"1780934450-2","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Aluguer de Apartamento T1 – Totalmente Renovado e Mobilado!","700 €","Viseu - Para o topo a 06 de junho de 2026","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/wlyw62l2txsz1-PT/image;s=510x680;q=50"
"1780934450-3","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T2+1 com 2 WC e 2 frentes, ao lado do Braga Parque","825 €","São Victor - Para o topo a 07 de junho de 2026","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/2rcvkhlhdce23-PT/image;s=510x680;q=50"
"1780934450-4","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T1 Mobilado c/ Porteiro | 4.º Andar luminoso, 2 Frentes | À Praça da Galiza/Boavista","850 €","Lordelo Do Ouro E Massarelos - Para o topo a 07 de junho de 2026","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/ldxguaz3sn7q2-PT/image;s=510x383;q=50"
"1780934450-5","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T2 - Infantado","1.200 €","Loures - Para o topo a 07 de junho de 2026","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/xa06ni48z07z-PT/image;s=510x680;q=50"
"1780934450-6","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T2 Moderno Renovado | Zona Calma | Cozinha Equipada","650 €Negociável","Serzedo E Calvos - Hoje às 14:22","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-7","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T3 Espinho - Muito bem localizado","950 €Negociável","Espinho - Para o topo hoje às 14:36","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-8","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrendo T1 Espaçoso e remodelado em Queluz, junto PSP","1.100 €","Queluz E Belas - Para o topo hoje às 11:23","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-9","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T-2 / Urbanização da Prelada / Porto","900 €","Ramalde - Hoje às 15:37","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-10","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T3 mobililado com garagem fechada para 2 viaturas.","1.250 €Negociável","Nogueiró E Tenões - Para o topo a 07 de junho de 2026","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
